station_name,city,state,latitude,longitude,last_update,total_pollutants_monitored,cloudiness,co_avg,co_max,co_min,co_unit,feels_like,humidity,nh3_avg,nh3_max,nh3_min,nh3_unit,no2_avg,no2_max,no2_min,no2_unit,openweather_aqi,ow_co,ow_nh3,ow_no,ow_no2,ow_o3,ow_pm10,ow_pm25,ow_so2,pm10_avg,pm10_max,pm10_min,pm10_unit,pm25_avg,pm25_max,pm25_min,pm25_unit,pressure,so2_avg,so2_max,so2_min,so2_unit,sunrise,sunset,temperature,visibility,weather_description,weather_main,weather_timestamp,wind_direction,wind_gust,wind_speed
"DTU, Delhi - CPCB",Delhi,Delhi,28.7500499,77.1112615,21-09-2025 16:00:00,6,0,21.0,26.0,10.0,µg/m³,33.38,30,8.0,10.0,7.0,µg/m³,67.0,71.0,47.0,µg/m³,3,140.91,1.77,0.29,2.1,88.93,68.48,21.17,1.15,115.0,137.0,94.0,µg/m³,43.0,127.0,28.0,µg/m³,1002,38.0,44.0,36.0,µg/m³,1758415162,1758459006,34.07,10000,clear sky,Clear,2025-09-21T16:49:41.429116,322,6.15,4.85
"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,28.498571,77.26484,21-09-2025 16:00:00,6,40,19.0,65.0,13.0,µg/m³,37.72,49,6.0,7.0,5.0,µg/m³,43.0,68.0,33.0,µg/m³,3,146.26,1.65,0.33,2.41,88.31,66.2,21.56,1.37,121.0,141.0,102.0,µg/m³,59.0,85.0,40.0,µg/m³,1002,12.0,13.0,11.0,µg/m³,1758415127,1758458968,33.84,5000,haze,Haze,2025-09-21T16:49:42.352151,290,8.23,3.09
"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,28.5710274,77.0719006,21-09-2025 16:00:00,6,40,42.0,70.0,26.0,µg/m³,38.23,49,8.0,9.0,7.0,µg/m³,36.0,68.0,22.0,µg/m³,3,142.28,1.86,0.3,2.16,88.97,63.45,20.76,1.31,135.0,195.0,90.0,µg/m³,56.0,83.0,30.0,µg/m³,1002,13.0,16.0,10.0,µg/m³,1758415173,1758459015,34.08,5000,haze,Haze,2025-09-21T16:49:43.280794,290,8.23,3.09
"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,28.6811736,77.3025234,21-09-2025 16:00:00,6,0,42.0,72.0,37.0,µg/m³,33.11,28,2.0,3.0,2.0,µg/m³,47.0,49.0,44.0,µg/m³,3,146.35,1.58,0.33,2.4,89.37,72.14,22.3,1.37,93.0,111.0,78.0,µg/m³,79.0,96.0,67.0,µg/m³,1002,16.0,20.0,14.0,µg/m³,1758415117,1758458960,34.12,10000,clear sky,Clear,2025-09-21T16:49:44.251205,325,6.14,4.99
"Alipur, Delhi - DPCC",Delhi,Delhi,28.815329,77.15301,21-09-2025 16:00:00,6,0,46.0,70.0,40.0,µg/m³,34.0,33,3.0,4.0,2.0,µg/m³,26.0,38.0,15.0,µg/m³,3,146.12,1.89,0.32,2.39,90.88,76.39,23.59,1.64,123.0,140.0,97.0,µg/m³,68.0,143.0,38.0,µg/m³,1002,5.0,8.0,1.0,µg/m³,1758415152,1758458997,34.11,10000,clear sky,Clear,2025-09-21T16:49:46.254509,322,6.32,4.68
"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,28.73282,77.170633,21-09-2025 16:00:00,6,20,58.0,84.0,38.0,µg/m³,38.3,49,6.0,7.0,6.0,µg/m³,45.0,69.0,29.0,µg/m³,3,140.91,1.77,0.29,2.1,88.93,68.48,21.17,1.15,141.0,171.0,104.0,µg/m³,200.0,310.0,90.0,µg/m³,1002,13.0,19.0,7.0,µg/m³,1758415148,1758458992,34.11,5000,haze,Haze,2025-09-21T16:49:47.694448,300,,4.63
"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,28.58028,77.233829,21-09-2025 16:00:00,6,40,155.0,160.0,138.0,µg/m³,38.23,49,8.0,10.0,6.0,µg/m³,59.0,95.0,36.0,µg/m³,3,146.26,1.65,0.33,2.41,88.31,66.2,21.56,1.37,137.0,181.0,101.0,µg/m³,58.0,157.0,22.0,µg/m³,1002,11.0,42.0,4.0,µg/m³,1758415134,1758458976,34.08,5000,haze,Haze,2025-09-21T16:49:49.194177,290,8.23,3.09
"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,28.611281,77.237738,21-09-2025 16:00:00,5,20,38.0,76.0,25.0,µg/m³,38.27,49,16.0,17.0,15.0,µg/m³,41.0,75.0,16.0,µg/m³,3,146.35,1.58,0.33,2.4,89.37,72.14,22.3,1.37,117.0,143.0,99.0,µg/m³,,,,,1002,8.0,14.0,1.0,µg/m³,1758415132,1758458975,34.1,5000,haze,Haze,2025-09-21T16:49:50.163040,300,,4.63
"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi,28.5512005,77.2735737,21-09-2025 16:00:00,4,20,84.0,112.0,40.0,µg/m³,38.19,49,,,,,37.0,51.0,21.0,µg/m³,3,146.26,1.65,0.33,2.41,88.31,66.2,21.56,1.37,147.0,195.0,97.0,µg/m³,60.0,98.0,26.0,µg/m³,1002,,,,,1758415124,1758458966,34.06,5000,haze,Haze,2025-09-21T16:49:51.613373,300,,4.63
"Chandni Chowk, Delhi - IITM",Delhi,Delhi,28.656756,77.227234,21-09-2025 16:00:00,6,40,62.0,74.0,57.0,µg/m³,38.19,49,12.0,24.0,10.0,µg/m³,48.0,87.0,24.0,µg/m³,3,146.35,1.58,0.33,2.4,89.37,72.14,22.3,1.37,114.0,124.0,106.0,µg/m³,82.0,104.0,66.0,µg/m³,1002,13.0,17.0,8.0,µg/m³,1758415135,1758458978,34.06,5000,haze,Haze,2025-09-21T16:49:52.743365,290,8.23,3.09
